Age,Gender,Location,Highest_qualification,Stream,Current_Academic_Level,Grade_CGPA_Percentage,Technical_Skills,Soft_Skills,Languages_Known,Certifications,Fields_of_Interest,Preferred_Work_Style,Work_Type_Interest,Past_Jobs_Internships,Achievements,Skills_Gained,Willing_to_Relocate,Suggested_Career_Path
24,Male,Hyderabad,B.Tech,ECE,Student,92.3,JavaScript,"Leadership, Time Management, Communication","English, Hindi",,Data Science,Remote,Technical,Part-time Job,Top Performer,Teamwork,Yes,Data Scientist
23,Other,Pune,B.Sc,BBA,Working Professional,99.3,"Data Analysis, Node.js, C++",Leadership,Telugu,"Python, Azure",Software Development,Office,Creative,None,Employee of the Month,Data Analysis,No,Frontend Developer
23,Male,Hyderabad,12th,Civil,Working Professional,59.15,C++,"Creativity, Teamwork",Hindi,Data Science,AI/ML,Office,Technical,Freelance Project,None,Programming,No,Deep Learning Engineer
27,Other,Pune,12th,Mechanical,Graduate,71.92,C++,"Creativity, Teamwork, Communication","Hindi, English",Full Stack Development,Marketing,Office,Social,None,Top Performer,Teamwork,Yes,Marketing Executive
30,Male,Mumbai,MBA,EEE,Working Professional,77.22,"HTML/CSS, C++",Communication,Marathi,"Full Stack Development, Python",Cybersecurity,Remote,Social,None,Awarded Best Project,Programming,Yes,Ethical Hacker
30,Male,Hyderabad,M.Sc,ECE,Student,81.47,"Node.js, Java","Problem Solving, Communication, Creativity","Kannada, English",,Data Science,Office,Social,None,None,Project Management,Yes,Data Scientist
22,Male,Mumbai,MCA,Civil,Graduate,87.68,"React, SQL, HTML/CSS","Teamwork, Problem Solving",Kannada,GCP,Marketing,Remote,Creative,Part-time Job,Published Paper,Programming,No,Marketing Executive
21,Other,Pune,MBA,BBA,Graduate,98.75,Python,"Communication, Teamwork","English, Hindi",,Design,Office,Analytical,Part-time Job,None,Problem Solving,Yes,Graphic Designer
18,Female,Pune,M.Sc,BBA,Graduate,66.42,"Data Analysis, Node.js",Leadership,"Kannada, Telugu","Azure, Full Stack Development",Cybersecurity,Office,Analytical,Freelance Project,Employee of the Month,Project Management,No,Ethical Hacker
22,Female,Hyderabad,M.Sc,Mechanical,Graduate,86.48,"React, SQL",Leadership,Tamil,"Full Stack Development, GCP",AI/ML,Field Work,Analytical,Part-time Job,Hackathon Winner,Programming,No,Deep Learning Engineer
20,Other,Vizag,B.Tech,IT,Student,93.31,Python,"Leadership, Communication, Problem Solving",Hindi,"Python, AWS",Data Science,Hybrid,Analytical,Freelance Project,None,Programming,No,Data Analyst
22,Female,Delhi,12th,Commerce,Graduate,56.97,HTML/CSS,"Leadership, Creativity, Communication","Telugu, Tamil",Machine Learning,Data Science,Field Work,Creative,Internship at XYZ,None,Programming,Yes,Data Scientist
19,Female,Hyderabad,B.Sc,Commerce,Working Professional,60.31,"HTML/CSS, Data Analysis, Node.js","Leadership, Time Management",English,,Design,Remote,Social,Freelance Project,Top Performer,Leadership,No,Product Designer
29,Male,Chennai,MCA,BBA,Student,66.1,"Java, Python, Data Analysis",Teamwork,Marathi,"AWS, Machine Learning",Data Science,Remote,Creative,None,Hackathon Winner,Programming,Yes,Data Scientist
24,Male,Mumbai,B.Tech,BBA,Student,92.71,HTML/CSS,"Problem Solving, Time Management",Tamil,Machine Learning,Marketing,Remote,Analytical,Research Assistant,Published Paper,Programming,Yes,Marketing Executive
29,Other,Bangalore,B.Sc,ECE,Graduate,97.55,"C++, Python, React",Leadership,"Marathi, English","GCP, Azure",Management,Remote,Technical,Internship at XYZ,Top Performer,Leadership,No,Business Manager
25,Other,Amalapuram,B.Tech,Mechanical,Graduate,60.33,"Python, Data Analysis",Time Management,Kannada,"AWS, Machine Learning",Cybersecurity,Field Work,Creative,Part-time Job,Top Performer,Problem Solving,Yes,Security Engineer
19,Other,Hyderabad,M.Tech,Civil,Working Professional,50.91,"SQL, Java","Leadership, Time Management",Tamil,"Machine Learning, Data Science",Design,Hybrid,Technical,Research Assistant,Published Paper,Programming,No,Product Designer
30,Other,Hyderabad,MBA,Commerce,Working Professional,62.7,"Python, SQL","Creativity, Leadership","Kannada, Marathi",AWS,Software Development,Remote,Analytical,Freelance Project,None,Teamwork,No,Software Engineer
20,Other,Mumbai,MBA,IT,Graduate,96.79,"Node.js, Python, Java","Problem Solving, Creativity",English,"Full Stack Development, Azure",Management,Hybrid,Technical,None,Published Paper,Teamwork,No,Project Manager
30,Female,Pune,M.Sc,Commerce,Working Professional,87.48,Data Analysis,"Communication, Creativity, Leadership",Telugu,Data Science,Software Development,Hybrid,Analytical,Research Assistant,Top Performer,Leadership,Yes,Frontend Developer
19,Male,Amalapuram,MCA,Mechanical,Student,91.48,"JavaScript, C++",Problem Solving,Telugu,,Data Science,Remote,Social,Research Assistant,Employee of the Month,Project Management,Yes,Data Scientist
24,Female,Hyderabad,B.Sc,ECE,Working Professional,91.61,React,"Creativity, Teamwork","Marathi, Hindi",Azure,Software Development,Office,Technical,Internship at XYZ,Hackathon Winner,Teamwork,Yes,Backend Developer
18,Female,Pune,M.Tech,CSE,Working Professional,69.59,"React, Python",Time Management,English,Azure,AI/ML,Field Work,Analytical,Freelance Project,Awarded Best Project,Data Analysis,Yes,Deep Learning Engineer
21,Other,Delhi,MCA,CSE,Student,56.42,JavaScript,"Communication, Time Management",Telugu,"Full Stack Development, Azure",Management,Remote,Technical,Internship at XYZ,Awarded Best Project,Data Analysis,Yes,Business Manager
28,Other,Mumbai,B.Tech,IT,Graduate,59.02,JavaScript,"Time Management, Communication, Creativity",English,Python,Marketing,Office,Analytical,Research Assistant,Awarded Best Project,Project Management,Yes,Digital Marketing Specialist
18,Male,Chennai,B.Tech,Mechanical,Graduate,58.94,"HTML/CSS, C++, Python","Leadership, Problem Solving, Communication",Marathi,,Management,Field Work,Social,Freelance Project,None,Problem Solving,Yes,Business Manager
25,Female,Chennai,B.Tech,ECE,Working Professional,87.18,"HTML/CSS, Data Analysis",Teamwork,Telugu,GCP,Management,Office,Analytical,None,None,Leadership,Yes,Project Manager
25,Female,Pune,B.Tech,Civil,Student,87.41,SQL,"Time Management, Problem Solving",Tamil,Azure,AI/ML,Remote,Analytical,Freelance Project,Top Performer,Teamwork,No,Deep Learning Engineer
27,Male,Vizag,B.Sc,Mechanical,Working Professional,65.7,React,Teamwork,Kannada,"GCP, Azure",Data Science,Office,Creative,None,Employee of the Month,Problem Solving,No,Data Analyst
21,Male,Delhi,B.Tech,BBA,Working Professional,65.49,"Data Analysis, Node.js","Creativity, Teamwork","Tamil, Marathi",,Marketing,Hybrid,Social,Startup Experience,None,Problem Solving,No,Digital Marketing Specialist
26,Male,Amalapuram,M.Sc,ECE,Student,84.1,Data Analysis,"Creativity, Leadership",Tamil,"AWS, Python",Design,Remote,Technical,None,Top Performer,Data Analysis,Yes,Graphic Designer
18,Other,Delhi,B.Sc,EEE,Student,52.84,"HTML/CSS, JavaScript, Python","Communication, Time Management","Telugu, Kannada",,Cybersecurity,Hybrid,Creative,Part-time Job,None,Teamwork,No,Cybersecurity Analyst
26,Other,Mumbai,MBA,BBA,Working Professional,68.78,Node.js,"Creativity, Time Management, Communication",English,,Management,Field Work,Creative,Freelance Project,Hackathon Winner,Programming,No,Operations Manager
27,Other,Delhi,12th,EEE,Graduate,79.38,"SQL, Data Analysis",Teamwork,"Hindi, Marathi",Python,Management,Hybrid,Technical,Startup Experience,Awarded Best Project,Project Management,No,Project Manager
24,Other,Amalapuram,M.Sc,ECE,Working Professional,75.29,HTML/CSS,Time Management,Tamil,"GCP, Machine Learning",Design,Field Work,Social,Internship at XYZ,Employee of the Month,Leadership,No,Product Designer
27,Other,Delhi,M.Sc,Civil,Student,69.26,"Node.js, C++","Time Management, Leadership, Teamwork","Tamil, Kannada",,Marketing,Remote,Analytical,None,Top Performer,Programming,Yes,Digital Marketing Specialist
21,Other,Bangalore,M.Sc,IT,Graduate,87.69,"Java, SQL",Problem Solving,"Tamil, Hindi",,Software Development,Remote,Creative,None,None,Teamwork,No,Frontend Developer
27,Other,Pune,12th,BBA,Student,83.19,HTML/CSS,Leadership,"Hindi, Telugu",GCP,Cybersecurity,Remote,Creative,Freelance Project,None,Programming,No,Security Engineer
22,Other,Hyderabad,10th,Civil,Graduate,60.15,"SQL, Python","Leadership, Creativity, Time Management","Telugu, Tamil","Python, Full Stack Development",Cybersecurity,Remote,Creative,Research Assistant,None,Leadership,Yes,Cybersecurity Analyst
29,Other,Chennai,MCA,ECE,Working Professional,99.33,"React, SQL, Node.js","Leadership, Problem Solving","English, Hindi","Machine Learning, AWS",Cybersecurity,Office,Creative,None,Employee of the Month,Leadership,Yes,Cybersecurity Analyst
20,Female,Pune,MBA,IT,Graduate,69.04,"Node.js, Data Analysis","Time Management, Communication, Creativity",Telugu,"GCP, Azure",Software Development,Remote,Analytical,Internship at XYZ,None,Data Analysis,No,Full Stack Developer
30,Female,Amalapuram,M.Sc,EEE,Graduate,60.74,"Java, C++, Data Analysis","Creativity, Time Management",Tamil,,Software Development,Remote,Social,Internship at XYZ,Top Performer,Leadership,No,Backend Developer
26,Female,Pune,12th,IT,Working Professional,94.71,React,"Problem Solving, Time Management, Teamwork","English, Telugu",,Marketing,Hybrid,Social,Part-time Job,Top Performer,Teamwork,No,Marketing Executive
18,Male,Amalapuram,M.Tech,Mechanical,Graduate,73.02,React,"Teamwork, Time Management, Leadership","Hindi, Telugu",,Marketing,Field Work,Social,Startup Experience,Top Performer,Programming,Yes,SEO Analyst
27,Male,Chennai,10th,Mechanical,Working Professional,75.47,"React, SQL",Time Management,"Kannada, Telugu","Full Stack Development, GCP",Marketing,Office,Analytical,Research Assistant,Employee of the Month,Project Management,Yes,Digital Marketing Specialist
19,Male,Delhi,10th,BBA,Working Professional,75.01,"HTML/CSS, React, Python","Creativity, Communication",Marathi,"AWS, GCP",Software Development,Office,Technical,Startup Experience,Awarded Best Project,Leadership,No,Backend Developer
18,Female,Amalapuram,B.Tech,CSE,Working Professional,90.33,Python,Problem Solving,"English, Tamil",Machine Learning,AI/ML,Office,Technical,None,Published Paper,Project Management,Yes,Deep Learning Engineer
23,Male,Bangalore,B.Tech,BBA,Graduate,60.97,"JavaScript, Data Analysis, C++","Creativity, Teamwork, Problem Solving",Marathi,,Management,Field Work,Social,Part-time Job,Top Performer,Teamwork,Yes,Business Manager
26,Male,Delhi,MBA,ECE,Graduate,61.31,"Node.js, HTML/CSS",Creativity,Marathi,,Management,Remote,Social,Internship at XYZ,Employee of the Month,Problem Solving,No,Business Manager
30,Other,Pune,10th,BBA,Student,51.47,Data Analysis,"Creativity, Problem Solving, Teamwork",Telugu,"GCP, Python",Design,Remote,Social,Research Assistant,Employee of the Month,Teamwork,No,Product Designer
20,Female,Chennai,12th,BBA,Working Professional,92.31,"Python, React",Communication,English,Data Science,Data Science,Field Work,Creative,Research Assistant,None,Problem Solving,No,Data Analyst
